,Average,Stdev,Slope.age,Slope.bmo.area
BMO.G,336.1,51.63,-1.339,-48.795
BMO.N,374.2,63.67,-1.2828,-72.949
BMO.NI,411.6,71.87,-1.7216,-46.052
BMO.NS,374.2,71.09,-1.4747,-48.672
BMO.T,238.7,42.83,-1.0286,-35.353
BMO.TI,352.4,60.25,-1.5594,-23.402
BMO.TS,321.1,59.87,-1.4527,-40.84
RNFL3.5.G,97.8,8.6,-0.1872,6.39
RNFL3.5.N,81.5,12.5,-0.1558,4.035
RNFL3.5.NI,109.5,21.5,-0.382,7.919
RNFL3.5.NS,112,22.4,-0.2718,10.239
RNFL3.5.T,70.5,9.8,-0.0502,2.338
RNFL3.5.TI,148.8,16.9,-0.3357,11.783
RNFL3.5.TS,128,19.6,-0.1591,11.333
RNFL4.1.G,84.2,7.4,-0.1474,5.529
RNFL4.1.N,68,10.1,-0.1057,3.385
RNFL4.1.NI,87.4,17.8,-0.3045,5.366
RNFL4.1.NS,90.2,18.7,-0.209,6.705
RNFL4.1.T,63.3,8.8,-0.0471,3.024
RNFL4.1.TI,133.4,15,-0.3096,9.949
RNFL4.1.TS,117.7,16.6,-0.1091,11.727
RNFL4.7.G,73.9,6.6,-0.1188,4.385
RNFL4.7.N,58.6,8.5,-0.0667,2.497
RNFL4.7.NI,71.2,14.4,-0.2327,4.826
RNFL4.7.NS,74.4,15.2,-0.186,3.659
RNFL4.7.T,58.3,7.8,-0.0368,2.801
RNFL4.7.TI,119.8,14,-0.2937,7.768
RNFL4.7.TS,107.8,14.6,-0.09,10.116
